Dep髎ito;Partida;Secuencia;Desde;Lote;Vencimiento;Producto;Medida;Secuencia modif;Partida completa;Linea;Categoria
CIGRAL INSUMOS MEDICOS - PAMI;0C428;1;17/09/2025;0012642317;26/01/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.25 X 15 MM;0001;0C4280001;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0A089;9;11/11/2025;0012490173;14/10/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.25 X 15 MM;0009;0A0890009;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;94462;2;29/10/2025;0012409060;21/08/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.25 X 18 MM;0002;944620002;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;82309;4;29/10/2025;0011666486;05/03/2026;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.25 X 18 MM;0004;823090004;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E615;7;14/11/2025;0012891452;25/06/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.5 X 15 MM;0007;0E6150007;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E615;6;14/11/2025;0012891452;25/06/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.5 X 15 MM;0006;0E6150006;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0B050;9;18/11/2025;0012621148;11/01/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.5 X 15 MM;0009;0B0500009;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0D737;83;14/11/2025;0012929084;17/07/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.5 X 22 MM;0083;0D7370083;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E561;34;04/11/2025;0012929542;18/07/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.5 X 26 MM;0034;0E5610034;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0A073;4;06/08/2025;0012392248;10/08/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.75 X 15 MM;0004;0A0730004;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E911;37;14/11/2025;0012975483;17/08/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.75 X 18 MM;0037;0E9110037;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E918;7;04/11/2025;0012990392;26/08/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.75 X 22 MM;0007;0E9180007;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0A087;11;17/09/2025;0012619664;10/01/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.75 X 26 MM;0011;0A0870011;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E927;3;14/11/2025;0012971819;14/08/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.75 X 26 MM;0003;0E9270003;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E607;5;29/10/2025;0012680243;20/02/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 15 MM;0005;0E6070005;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E607;6;29/10/2025;0012680243;20/02/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 15 MM;0006;0E6070006;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;99205;54;17/11/2025;0012414290;25/08/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 15 MM;0054;992050054;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0C405;7;11/09/2025;0012836840;25/05/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 18 MM;0007;0C4050007;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0A365;11;26/08/2025;0012400948;15/08/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 18 MM;0011;0A3650011;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0C525;5;17/09/2025;0012799729;05/05/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 18 MM;0005;0C5250005;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0F104;89;14/11/2025;0012986070;24/08/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 22 MM;0089;0F1040089;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E926;19;14/11/2025;0012934055;21/07/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 22 MM;0019;0E9260019;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0C520;11;11/11/2025;0012843179;28/05/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 26 MM;0011;0C5200011;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0D315;6;07/10/2025;0012892342;25/06/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 30 MM;0006;0D3150006;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E941;49;14/11/2025;0012934975;22/07/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 30 MM;0049;0E9410049;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E933;17;30/10/2025;0012934975;22/07/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 30 MM;0017;0E9330017;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0A385;8;02/09/2025;0012577867;08/12/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.0 X 34 MM;0008;0A3850008;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0D735;13;17/11/2025;0012910954;07/07/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 12 MM;0013;0D7350013;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0C524;11;04/09/2025;0012583511;11/12/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 15 MM;0011;0C5240011;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0F235;42;14/11/2025;0012760868;09/04/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 15 MM;0042;0F2350042;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;95410;8;08/08/2025;0012407027;20/08/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 15 MM;0008;954100008;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0C406;58;17/09/2025;0012879066;18/06/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 18 MM;0058;0C4060058;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0D332;11;29/10/2025;0012838307;26/05/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 22 MM;0011;0D3320011;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0D332;2;29/10/2025;0012838307;26/05/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 22 MM;0002;0D3320002;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;96699;16;29/10/2025;0012350074;09/07/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 22 MM;0016;966990016;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0B078;25;29/10/2025;0012619665;10/01/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 22 MM;0025;0B0780025;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0C542;10;11/09/2025;0012879721;18/06/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 26 MM;0010;0C5420010;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0C542;6;17/09/2025;0012879721;18/06/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 26 MM;0006;0C5420006;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0C515;24;17/09/2025;0012778168;21/04/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 30 MM;0024;0C5150024;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0B289;14;08/08/2025;0012843188;28/05/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 30 MM;0014;0B2890014;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0B289;7;06/08/2025;0012843188;28/05/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 30 MM;0007;0B2890007;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0C402;15;17/09/2025;0012892348;25/06/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 34 MM;0015;0C4020015;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0C402;21;02/09/2025;0012892348;25/06/2028;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 34 MM;0021;0C4020021;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0C512;14;17/11/2025;0012445766;16/09/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;4.0 X 12 MM;0014;0C5120014;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E578;1;29/10/2025;0012562289;28/11/2027;STENT CORONARIO ONYX TRUSTAR CON ZOTAROLIMUS;3.0 X 22 MM;0001;0E5780001;CORONARIO;STENT CORONARIO
CIGRAL INSUMOS MEDICOS - PAMI;0E578;2;29/10/2025;0012562289;28/11/2027;STENT CORONARIO ONYX TRUSTAR CON ZOTAROLIMUS;3.0 X 22 MM;0002;0E5780002;CORONARIO;STENT CORONARIO
CLINICA GENERAL BELGRANO;0B421;1;04/09/2025;9424436;01/01/2028;GU虯 PARA USO EN VASCULATURA PERIF蒖ICA NITREX;"0.035"" 300 CM";0001;0B4210001;PERIFERICO;GUIA
DR. SISU ELIAS - IPENSA;95880;1;15/05/2025;229907620;16/10/2026;CATETER GUIA LAUNCHER;5 FR 058创 JR 3.5;0001;958800001;CORONARIO;LAUNCHER
DR. SISU ELIAS - IPENSA;98572;1;15/05/2025;230639499;07/02/2027;CATETER GUIA LAUNCHER;5 FR 058创 JR 4.0;0001;985720001;CORONARIO;LAUNCHER
DR. SISU ELIAS - IPENSA;98573;2;15/05/2025;230639420;06/02/2027;CATETER GUIA LAUNCHER;5 FR 058创 JR 4.0;0002;985730002;CORONARIO;LAUNCHER
DR. SISU ELIAS - IPENSA;98573;1;15/05/2025;230639420;06/02/2027;CATETER GUIA LAUNCHER;5 FR 058创 JR 4.0;0001;985730001;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;93719;1;15/07/2025;229266299;11/07/2026;CATETER GUIA LAUNCHER;"6 FR 0.71"" JL 3.0";0001;937190001;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;96749;8;28/04/2025;229686317;14/09/2026;CATETER GUIA LAUNCHER;"6 FR .071"" JR 3.0";0008;967490008;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98996;15;15/07/2025;229927858;21/10/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 3.5;0015;989960015;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98996;1;15/07/2025;229927858;21/10/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 3.5;0001;989960001;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98996;14;15/07/2025;229927858;21/10/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 3.5;0014;989960014;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98996;13;15/07/2025;229927858;21/10/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 3.5;0013;989960013;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98996;11;15/07/2025;229927858;21/10/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 3.5;0011;989960011;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98996;10;15/07/2025;229927858;21/10/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 3.5;0010;989960010;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98996;9;15/07/2025;229927858;21/10/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 3.5;0009;989960009;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98996;8;15/07/2025;229927858;21/10/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 3.5;0008;989960008;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98996;7;15/07/2025;229927858;21/10/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 3.5;0007;989960007;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98996;6;15/07/2025;229927858;21/10/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 3.5;0006;989960006;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;97601;3;28/04/2025;229901245;16/10/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 3.5;0003;976010003;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;97601;1;28/04/2025;229901245;16/10/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 3.5;0001;976010001;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;94584;2;28/04/2025;229507861;16/08/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 4.0;0002;945840002;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;94584;1;28/04/2025;229507861;16/08/2026;CATETER GUIA LAUNCHER;6 FR .071创 JR 4.0;0001;945840001;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;86143;21;15/07/2025;0011946689;07/09/2025;CATETER GUIA LAUNCHER;6 FR 0.71创 RBU 3.5;0021;861430021;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;86143;15;15/07/2025;0011946689;07/09/2025;CATETER GUIA LAUNCHER;6 FR 0.71创 RBU 3.5;0015;861430015;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;86143;14;15/07/2025;0011946689;07/09/2025;CATETER GUIA LAUNCHER;6 FR 0.71创 RBU 3.5;0014;861430014;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;86143;35;15/07/2025;0011946689;07/09/2025;CATETER GUIA LAUNCHER;6 FR 0.71创 RBU 3.5;0035;861430035;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;86143;3;15/07/2025;0011946689;07/09/2025;CATETER GUIA LAUNCHER;6 FR 0.71创 RBU 3.5;0003;861430003;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;86143;24;15/07/2025;0011946689;07/09/2025;CATETER GUIA LAUNCHER;6 FR 0.71创 RBU 3.5;0024;861430024;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;86143;33;15/07/2025;0011946689;07/09/2025;CATETER GUIA LAUNCHER;6 FR 0.71创 RBU 3.5;0033;861430033;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;86143;23;15/07/2025;0011946689;07/09/2025;CATETER GUIA LAUNCHER;6 FR 0.71创 RBU 3.5;0023;861430023;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;86143;4;15/07/2025;0011946689;07/09/2025;CATETER GUIA LAUNCHER;6 FR 0.71创 RBU 3.5;0004;861430004;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;88414;8;15/07/2025;227336494;10/09/2025;CATETER GUIA LAUNCHER;6 FR 0.71创 RBU 3.5;0008;884140008;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;96071;2;15/07/2025;229786652;29/09/2026;CATETER GUIA LAUNCHER;7 FR .081创 EBU 3.0;0002;960710002;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;96071;1;15/07/2025;229786652;29/09/2026;CATETER GUIA LAUNCHER;7 FR .081创 EBU 3.0;0001;960710001;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;97585;3;28/04/2025;230152543;22/11/2026;CATETER GUIA LAUNCHER;7 FR .081创 EBU 3.5;0003;975850003;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;97585;1;28/04/2025;230152543;22/11/2026;CATETER GUIA LAUNCHER;7 FR .081创 EBU 3.5;0001;975850001;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98205;4;15/07/2025;230152543;22/11/2026;CATETER GUIA LAUNCHER;7 FR .081创 EBU 3.5;0004;982050004;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98205;5;15/07/2025;230152543;22/11/2026;CATETER GUIA LAUNCHER;7 FR .081创 EBU 3.5;0005;982050005;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98205;6;15/07/2025;230152543;22/11/2026;CATETER GUIA LAUNCHER;7 FR .081创 EBU 3.5;0006;982050006;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98205;3;15/07/2025;230152543;22/11/2026;CATETER GUIA LAUNCHER;7 FR .081创 EBU 3.5;0003;982050003;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;98205;2;15/07/2025;230152543;22/11/2026;CATETER GUIA LAUNCHER;7 FR .081创 EBU 3.5;0002;982050002;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;93346;1;28/04/2025;228722679;19/04/2026;CATETER GUIA LAUNCHER;7 FR .081创 EBU 3.75;0001;933460001;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;93352;1;28/04/2025;228722679;19/04/2026;CATETER GUIA LAUNCHER;7 FR .081创 EBU 3.75;0001;933520001;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;93570;9;28/04/2025;229007117;31/05/2026;CATETER GUIA LAUNCHER;7 FR 081创 JR 3.5;0009;935700009;CORONARIO;LAUNCHER
DR. GUSTAVO SCHIPANI;96208;14;15/07/2025;0012392248;10/08/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;2.75 X 15 MM;0014;962080014;CORONARIO;STENT CORONARIO
DR. GUSTAVO SCHIPANI;93557;24;15/07/2025;0012332005;26/06/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 18 MM;0024;935570024;CORONARIO;STENT CORONARIO
DR. GUSTAVO SCHIPANI;0A384;35;15/07/2025;0012525799;05/11/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;3.5 X 22 MM;0035;0A3840035;CORONARIO;STENT CORONARIO
DR. GUSTAVO SCHIPANI;98399;2;15/07/2025;0012288792;27/05/2027;STENT CORONARIO ONYX TRUCOR CON NUCLEO DE PLATINO IRIDIO;4.0 X 12 MM;0002;983990002;CORONARIO;STENT CORONARIO
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0D253;3;18/11/2025;231784208;15/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 12 MM;0003;0D2530003;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0D253;2;18/11/2025;231784208;15/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 12 MM;0002;0D2530002;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0D346;5;18/11/2025;231690938;01/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 12 MM;0005;0D3460005;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0D346;6;18/11/2025;231690938;01/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 12 MM;0006;0D3460006;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0D346;7;18/11/2025;231690938;01/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 12 MM;0007;0D3460007;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0D346;8;18/11/2025;231690938;01/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 12 MM;0008;0D3460008;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0D253;1;18/11/2025;231784208;15/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 12 MM;0001;0D2530001;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0E212;16;18/11/2025;231743647;07/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 12 MM;0016;0E2120016;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0F262;27;18/11/2025;231924868;30/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 15 MM;0027;0F2620027;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0F261;6;18/11/2025;231924868;30/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 15 MM;0006;0F2610006;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0F261;9;18/11/2025;231924868;30/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 15 MM;0009;0F2610009;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0F261;10;18/11/2025;231924868;30/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 15 MM;0010;0F2610010;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0F260;69;18/11/2025;231924868;30/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 15 MM;0069;0F2600069;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0F260;73;18/11/2025;231924868;30/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 15 MM;0073;0F2600073;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0F260;74;18/11/2025;231924868;30/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 15 MM;0074;0F2600074;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0F260;85;18/11/2025;231924868;30/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 15 MM;0085;0F2600085;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0F262;6;18/11/2025;231924868;30/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 15 MM;0006;0F2620006;CORONARIO;BALON CORONARIO EUPHORA
ORTOPEDIA SANTA LUCIA - CONSIGNACION PAMI;0F262;7;18/11/2025;231924868;30/07/2027;BALON CORONARIO NC EUPHORA NO COMPLACIENTE;2.0 X 15 MM;0007;0F2620007;CORONARIO;BALON CORONARIO EUPHORA
